itemLabel,geo,pop
Adams County,Point(-83.48 38.84),28105
Erie County,Point(-82.61 41.51),76048
Brown County,Point(-83.87 38.93),44264
Lucas County,Point(-83.5 41.68),436393
Henry County,Point(-84.07 41.33),28092
Franklin County,Point(-83.01 39.97),1212263
Clinton County,Point(-83.81 39.41),41945
Jefferson County,Point(-80.76 40.38),67964
Hamilton County,Point(-84.54 39.2),804520
Cuyahoga County,Point(-81.66 41.54),1263154
Lorain County,Point(-82.15 41.47),302827
Putnam County,Point(-84.13 41.02),34088
Geauga County,Point(-81.17 41.5),93972
Lake County,Point(-81.24 41.82),229857
Huron County,Point(-82.6 41.15),58889
Medina County,Point(-81.9 41.12),174915
Defiance County,Point(-84.49 41.32),38532
Trumbull County,Point(-80.76 41.32),206442
Ashtabula County,Point(-80.76 41.89),99811
Portage County,Point(-81.2 41.17),163862
Auglaize County,Point(-84.22 40.56),45920
Pickaway County,Point(-83.03 39.64),56304
Champaign County,Point(-83.77 40.14),39455
Hancock County,Point(-83.67 41.0),75773
Paulding County,Point(-84.58 41.12),19254
Wayne County,Point(-81.89 40.83),115071
Richland County,Point(-82.54 40.78),121773
Wyandot County,Point(-83.3 40.85),22447
Ashland County,Point(-82.27 40.84),53043
Crawford County,Point(-82.92 40.85),42808
Harrison County,Point(-81.09 40.29),15622
Columbiana County,Point(-80.78 40.77),105893
Tuscarawas County,Point(-81.47 40.45),92672
Carroll County,Point(-81.09 40.58),28275
Stark County,Point(-81.37 40.81),375432
Williams County,Point(-84.58 41.56),37500
Mahoning County,Point(-80.77 41.02),233869
Belmont County,Point(-80.99 40.02),69571
Delaware County,Point(-83.01 40.28),184979
Madison County,Point(-83.4 39.9),43277
Ross County,Point(-83.06 39.33),77910
Coshocton County,Point(-81.92 40.3),36760
Summit County,Point(-81.53 41.13),541824
Fulton County,Point(-84.12 41.6),42488
Sandusky County,Point(-83.15 41.36),60098
Mercer County,Point(-84.63 40.54),40784
Seneca County,Point(-83.13 41.13),55914
Clark County,Point(-83.78 39.92),136167
Butler County,Point(-84.58 39.44),371272
Wood County,Point(-83.62 41.36),129264
Allen County,Point(-84.116666666 40.766666666),105298
Clermont County,Point(-84.15 39.05),200218
Athens County,Point(-82.05 39.33),64681
Darke County,Point(-84.62 40.13),52376
Ottawa County,Point(-83.06 41.59),41153
Montgomery County,Point(-84.29 39.75),535846
Lawrence County,Point(-82.54 38.59),61917
Van Wert County,Point(-84.59 40.86),28459
Scioto County,Point(-82.99 38.81),78153
Holmes County,Point(-81.93 40.56),43593
Morrow County,Point(-82.8 40.53),35033
Union County,Point(-83.37 40.31),53306
Shelby County,Point(-84.2 40.33),49192
Marion County,Point(-83.16 40.59),65905
Washington County,Point(-81.49 39.46),61310
Warren County,Point(-84.17 39.43),219169
Perry County,Point(-82.24 39.74),35997
Monroe County,Point(-81.08 39.73),14585
Miami County,Point(-84.23 40.05),103439
Morgan County,Point(-81.85 39.61),14904
Noble County,Point(-81.45 39.77),14628
Meigs County,Point(-82.02 39.08),23496
Pike County,Point(-83.07 39.08),28367
Preble County,Point(-84.65 39.74),41732
Vinton County,Point(-82.49 39.25),13276
Highland County,Point(-83.6 39.18),43299
Licking County,Point(-82.48 40.09),168375
Fairfield County,Point(-82.63 39.75),148867
Fayette County,Point(-83.45 39.56),28800
Guernsey County,Point(-81.5 40.05),39636
Knox County,Point(-82.466666666 40.383333333),60810
Hardin County,Point(-83.66 40.66),31641
Logan County,Point(-83.77 40.39),45481
Muskingum County,Point(-81.95 39.97),85231
Hocking County,Point(-82.48 39.5),28665
Gallia County,Point(-82.32 38.83),30621
Jackson County,Point(-82.62 39.02),32783
Greene County,Point(-83.89 39.69),163204
