,County,Confirmed,Deaths,Negative Test Results,Population,Latitude,Longitude,Date
0,Baker,0,0,6,16018,44.71,-117.67,2020-03-26
1,Benton,6,0,216,86591,44.490277777,-123.4325,2020-03-26
2,Clackamas,21,2,669,388263,45.19,-122.21,2020-03-26
3,Clatsop,2,0,59,37244,46.01,-123.71,2020-03-26
4,Columbia,0,0,73,49344,45.95,-123.08,2020-03-26
5,Coos,0,0,96,62282,43.18,-124.09,2020-03-26
6,Crook,0,0,6,20815,44.13,-120.36,2020-03-26
7,Curry,0,0,17,22339,42.48,-124.136666666,2020-03-26
8,Deschutes,15,0,130,165954,43.91,-121.22,2020-03-26
9,Douglas,3,0,121,106940,43.29,-123.18,2020-03-26
10,Gilliam,0,0,3,1947,45.38,-120.21,2020-03-26
11,Grant,1,0,1,7283,44.43841,-118.89173,2020-03-26
12,Harney,0,0,19,7146,43.07,-118.97,2020-03-26
13,Hood River,1,0,69,22675,45.5175,-121.649444444,2020-03-26
14,Jackson,4,0,681,208545,42.42,-122.74,2020-03-26
15,Jefferson,0,0,9,21145,44.63,-121.17,2020-03-26
16,Josephine,4,0,74,83306,42.36,-123.56,2020-03-26
17,Klamath,1,0,68,65910,42.68,-121.65,2020-03-26
18,Lake,0,0,3,7820,42.79,-120.39,2020-03-26
19,Lane,7,1,354,356212,43.95,-122.88,2020-03-26
20,Lincoln,1,0,48,46350,44.64,-123.91,2020-03-26
21,Linn,26,1,456,118765,44.63,-123.09,2020-03-26
22,Malheur,0,0,19,30479,43.21,-117.63,2020-03-26
23,Marion,57,2,559,323614,44.91,-122.58,2020-03-26
24,Morrow,0,0,15,11336,45.42,-119.57,2020-03-26
25,Multnomah,45,2,1684,766135,45.54,-122.41,2020-03-26
26,Polk,6,0,133,76794,44.91,-123.42,2020-03-26
27,Sherman,0,0,2,1731,45.41,-120.69,2020-03-26
28,Tillamook,1,0,29,25317,45.46,-123.7,2020-03-26
29,Umatilla,2,0,71,76720,45.375131,-118.7513661,2020-03-26
30,Union,1,0,15,25652,45.327222222,-118.093333333,2020-03-26
31,Wallowa,0,0,3,6814,45.58,-117.17,2020-03-26
32,Wasco,1,0,34,25477,45.16,-121.16,2020-03-26
33,Washington,104,3,979,554996,45.56,-123.09,2020-03-26
34,Wheeler,0,0,1,1381,44.73,-120.02,2020-03-26
35,Yamhill,7,0,231,100725,45.23,-123.31,2020-03-26
